"transcript_id" "gene_id" "gene_name"
"225" "ENSDART00000061693.7" "ENSDARG00000045982" "unknown.61"
"226" "ENSDART00000061753.5" "ENSDARG00000006899" "far1_t1"
"227" "ENSDART00000061765.5" "ENSDARG00000042138" "selp_t1"
"228" "ENSDART00000061853.8" "ENSDARG00000054220" "ap4s1_t1"
"229" "ENSDART00000062069.7" "ENSDARG00000042332" "plin2_g1t1"
"230" "ENSDART00000062375.5" "ENSDARG00000042536" "unknown.62"
"231" "ENSDART00000062523.5" "ENSDARG00000042621" "cryaba"
"232" "ENSDART00000062555.5" "ENSDARG00000042643" "FUT9_g1t1"
"233" "ENSDART00000062582.4" "ENSDARG00000042663" "unknown.63"
"234" "ENSDART00000062715.5" "ENSDARG00000054252" "unknown.64"
"235" "ENSDART00000062732.7" "ENSDARG00000043736" "unknown.65"
"236" "ENSDART00000062852.3" "ENSDARG00000042823" "spcs2_t1"
"237" "ENSDART00000062895.6" "ENSDARG00000042851" "srp9_t1"
"238" "ENSDART00000063055.5" "ENSDARG00000042947" "mstna"
"239" "ENSDART00000063127.7" "ENSDARG00000042992" "crygs1_t1"
"240" "ENSDART00000063257.5" "ENSDARG00000043085" "ALOX5_t1"
"241" "ENSDART00000063416.5" "ENSDARG00000043196" "rnasel2"
"242" "ENSDART00000063629.7" "ENSDARG00000103866" "unknown.66"
"243" "ENSDART00000063882.4" "ENSDARG00000043527" "plpp6_g1t1"
"244" "ENSDART00000064153.7" "ENSDARG00000088029" "unknown.67"
"245" "ENSDART00000064246.6" "ENSDARG00000070851" "si:dkey-88n24.6_t1"
"246" "ENSDART00000064279.6" "ENSDARG00000043768" "si:ch211-282j17.2"
"247" "ENSDART00000064280.5" "ENSDARG00000043769" "unknown.68"
"248" "ENSDART00000064309.4" "ENSDARG00000102853" "unknown.69"
"249" "ENSDART00000064320.8" "ENSDARG00000054374" "alg13_t1"
"250" "ENSDART00000064400.5" "ENSDARG00000051718" "unknown.70"
"251" "ENSDART00000064447.6" "ENSDARG00000115803" "unknown.71"
"252" "ENSDART00000064459.6" "ENSDARG00000043894" "unknown.72"
"253" "ENSDART00000064511.3" "ENSDARG00000043933" "il17a/f1"
"254" "ENSDART00000064513.3" "ENSDARG00000043934" "il17a/f2"
"255" "ENSDART00000064591.6" "ENSDARG00000079653" "cyp2x6_g1t1"
"256" "ENSDART00000064633.5" "ENSDARG00000044023" "nkl.4_g1t1"
"257" "ENSDART00000064679.4" "ENSDARG00000026246" "unknown.73"
"258" "ENSDART00000064839.7" "ENSDARG00000044161" "GRID1_g1t1"
"259" "ENSDART00000064913.6" "ENSDARG00000044216" "FTO_t1"
"260" "ENSDART00000064979.7" "ENSDARG00000075240" "unknown.74"
"261" "ENSDART00000065135.5" "ENSDARG00000044356" "tp63_g1t1"
"262" "ENSDART00000065349.6" "ENSDARG00000054658" "SLC34A1_g1t1"
"263" "ENSDART00000065475.6" "ENSDARG00000004898" "zp2l2"
"264" "ENSDART00000065548.6" "ENSDARG00000044612" "c1qb"
"265" "ENSDART00000065644.4" "ENSDARG00000044672" "parapinopsinb_t1"
"266" "ENSDART00000065693.6" "ENSDARG00000044704" "or90b1"
"267" "ENSDART00000065717.7" "ENSDARG00000114652" "unknown.75"
"268" "ENSDART00000065781.7" "ENSDARG00000115521" "unknown.76"
"269" "ENSDART00000065821.3" "ENSDARG00000090768" "zgc:171778_t1"
"270" "ENSDART00000065842.5" "ENSDARG00000044797" "cd8a"
"271" "ENSDART00000066491.7" "ENSDARG00000045224" "unknown.77"
"272" "ENSDART00000067106.4" "ENSDARG00000045634" "lmod2a_g1t1"
"273" "ENSDART00000067154.6" "ENSDARG00000045672" "il26"
"274" "ENSDART00000067155.4" "ENSDARG00000045673" "il22"
"275" "ENSDART00000067350.6" "ENSDARG00000045822" "tnnt2e_g1t1"
"276" "ENSDART00000067517.5" "ENSDARG00000053246" "DEPDC7"
"277" "ENSDART00000067579.6" "ENSDARG00000112170" "KLHL10_g2t1"
"278" "ENSDART00000067629.5" "ENSDARG00000045999" "saa"
"279" "ENSDART00000067775.7" "ENSDARG00000038352" "unknown.78"
"280" "ENSDART00000073381.4" "ENSDARG00000051712" "mhc1lfa"
"281" "ENSDART00000073382.3" "ENSDARG00000023203" "mhc1lda_t1"
"282" "ENSDART00000073404.3" "ENSDARG00000051736" "hist1h2a4"
"283" "ENSDART00000073434.6" "ENSDARG00000045554" "SNX20_t1"
"284" "ENSDART00000073457.5" "ENSDARG00000114405" "zgc:194989"
