"transcript_id"	"gene_id"	"gene_name"	"TF"
"ENSDART00000085969.6"	"ENSDARG00000068480"	"map7d2a_t1"	FALSE
"ENSDART00000086646.4"	"ENSDARG00000061049"	"rnf182"	FALSE
"ENSDART00000087187.6"	"ENSDARG00000061268"	"ago2"	TRUE
"ENSDART00000087241.6"	"ENSDARG00000061274"	"lss"	FALSE
"ENSDART00000087382.7"	"ENSDARG00000061338"	"DDX6"	FALSE
"ENSDART00000087450.6"	"ENSDARG00000061368"	"klf13"	TRUE
"ENSDART00000088004.7"	"ENSDARG00000061603"	"SORBS2_t4"	FALSE
"ENSDART00000088904.6"	"ENSDARG00000061921"	"gltpa"	FALSE
"ENSDART00000092344.6"	"ENSDARG00000073822"	"IQSEC1_g1t1"	FALSE
"ENSDART00000092552.6"	"ENSDARG00000045006"	"ptprga"	FALSE
"ENSDART00000097465.5"	"ENSDARG00000067668"	"cep57"	FALSE
"ENSDART00000097863.4"	"ENSDARG00000067912"	"MAN1C1_t2"	FALSE
"ENSDART00000098424.6"	"ENSDARG00000068179"	"TRIB2"	FALSE
"ENSDART00000098439.5"	"ENSDARG00000015057"	"ube2d4"	FALSE
"ENSDART00000098822.5"	"ENSDARG00000013615"	"pbx3b_g1t1"	TRUE
"ENSDART00000099847.5"	"ENSDARG00000039064"	"st3gal7"	FALSE
"ENSDART00000099895.6"	"ENSDARG00000061551"	"rap1gap2a_t2"	FALSE
"ENSDART00000100103.5"	"ENSDARG00000069029"	"acss2l"	FALSE
"ENSDART00000100605.5"	"ENSDARG00000069241"	"ttc32"	FALSE
"ENSDART00000101274.4"	"ENSDARG00000069529"	"zgc:153981"	FALSE
"ENSDART00000101304.5"	"ENSDARG00000069545"	"atg12_t2"	FALSE
"ENSDART00000102881.2"	"ENSDARG00000070222"	"fam43b"	FALSE
"ENSDART00000103448.5"	"ENSDARG00000036930"	"tbx18"	TRUE
"ENSDART00000103489.4"	"ENSDARG00000070485"	"cenps_g2t1"	FALSE
"ENSDART00000103491.5"	"ENSDARG00000070486"	"rbp7b_t2"	FALSE
"ENSDART00000103775.5"	"ENSDARG00000027564"	"PAK6"	FALSE
"ENSDART00000103798.5"	"ENSDARG00000016138"	"nme6"	FALSE
"ENSDART00000103911.5"	"ENSDARG00000079145"	"unknown.8023"	FALSE
"ENSDART00000104072.6"	"ENSDARG00000070698"	"kbtbd8"	FALSE
"ENSDART00000104505.6"	"ENSDARG00000091851"	"tsen2"	FALSE
"ENSDART00000104845.6"	"ENSDARG00000079402"	"unknown.8024"	FALSE
"ENSDART00000105432.5"	"ENSDARG00000071339"	"borcs8_t2"	FALSE
"ENSDART00000106499.4"	"ENSDARG00000078159"	"zgc:175284_t2"	TRUE
"ENSDART00000108540.4"	"ENSDARG00000077523"	"tdrd7b"	FALSE
"ENSDART00000108584.3"	"ENSDARG00000103602"	"pcdh1a3"	FALSE
"ENSDART00000109282.4"	"ENSDARG00000078492"	"swi5"	FALSE
"ENSDART00000109577.5"	"ENSDARG00000078272"	"CABP7_g1t1"	FALSE
"ENSDART00000110396.3"	"ENSDARG00000113977"	"fthl29"	FALSE
"ENSDART00000110839.4"	"ENSDARG00000078585"	"mon1a"	FALSE
"ENSDART00000111392.5"	"ENSDARG00000074876"	"abcd1_t2"	FALSE
"ENSDART00000111477.4"	"ENSDARG00000074588"	"mettl18_t2"	FALSE
"ENSDART00000111833.4"	"ENSDARG00000073985"	"pctp"	FALSE
"ENSDART00000112109.5"	"ENSDARG00000075833"	"lyve1a"	FALSE
"ENSDART00000112495.3"	"ENSDARG00000079497"	"tcima"	FALSE
"ENSDART00000113013.4"	"ENSDARG00000076716"	"unknown.8079"	FALSE
"ENSDART00000113697.4"	"ENSDARG00000077012"	"eif4ea_g1t1"	FALSE
"ENSDART00000113993.5"	"ENSDARG00000078072"	"unknown.8082"	FALSE
"ENSDART00000121592.3"	"ENSDARG00000044422"	"acvr2ba_t3"	FALSE
"ENSDART00000121859.3"	"ENSDARG00000090063"	"fa2h_t3"	FALSE
"ENSDART00000122037.4"	"ENSDARG00000014746"	"rbfox1_t1"	TRUE
"ENSDART00000124308.3"	"ENSDARG00000090847"	"unknown.8115"	FALSE
"ENSDART00000125066.3"	"ENSDARG00000037432"	"unknown.8117"	FALSE
"ENSDART00000126093.3"	"ENSDARG00000103156"	"gpc6a"	FALSE
"ENSDART00000126559.3"	"ENSDARG00000061551"	"rap1gap2a_t3"	FALSE
